M,T/T0,P/P0,D/D0,T/T*,P/P*,D/D*,A/A*
1.9,0.580720092915215,0.149239568638789,0.256990537195995,0.696864111498258,0.282499931113823,0.405387401148336,1.55525677631579
2,0.555555555555556,0.127804525462951,0.230048145833312,0.666666666666667,0.241924912867474,0.362887369301212,1.6875
2.1,0.53134962805526,0.109353158925267,0.205802645097352,0.637619553666313,0.206997783129732,0.324641523208464,1.83694360890652
2.2,0.508130081300813,0.0935216521962522,0.184050611522224,0.609756097560976,0.177029862415626,0.290328974361626,2.00497454545455
2.3,0.485908649173955,0.0799725977634282,0.164583606197135,0.583090379008746,0.151382462206407,0.259620922683988,2.19313081521739
2.4,0.464684014869888,0.068399364314233,0.147195432004229,0.557620817843866,0.129475151149545,0.232192104394851,2.40309987654321
2.5,0.444444444444444,0.058527663465935,0.131687242798354,0.533333333333333,0.110788720767465,0.207728851438996,2.63671875
2.6,0.425170068027211,0.0501151909073409,0.117870929014066,0.510204081632653,0.0948645061642198,0.185934432081871,2.89597538461538
2.7,0.406834825061025,0.0429500254070123,0.105571162450436,0.48820179007323,0.0813013554614652,0.166532276436901,3.18301095507544
2.8,0.389408099688474,0.0368482979359593,0.0946264290995434,0.467289719626168,0.0697512176128372,0.149267605691472,3.50012285714286
2.9,0.372856077554064,0.0316514997196263,0.0848893222480376,0.447427293064877,0.0599140467370635,0.133907894457337,3.84976823275862
3,0.357142857142857,0.0272236837038628,0.0762263143708159,0.428571428571429,0.0515325046912985,0.120242510946363,4.23456790123457
3.1,0.342231348391513,0.0234487264050561,0.0685171785555739,0.410677618069815,0.044386777947397,0.108081804301912,4.65731060483871
3.2,0.328083989501312,0.0202277524791448,0.0616541895564335,0.393700787401575,0.0382897024835052,0.0972558443081031,5.1209575
3.3,0.314663310258024,0.0174767782147308,0.0555412011664144,0.377595972309629,0.0330823030834584,0.087612965999359,5.62864684203143
3.4,0.301932367149759,0.0151245983947565,0.0500926698834335,0.36231884057971,0.0286297933156343,0.0790182295511508,6.18369882352941
3.5,0.289855072463768,0.013110919994476,0.0452326739809423,0.347826086956522,0.0248180427554228,0.0713518729218406,6.78962053571429
3.6,0.278396436525613,0.0113847330581988,0.0408939611450502,0.334075723830735,0.0215504931703114,0.0645078095564653,7.45011102880658
3.7,0.267522739432852,0.00990290152333622,0.0370170458942308,0.321027287319422,0.0187454910496327,0.0583922046196057,8.1690664527027
3.8,0.257201646090535,0.00862895299246226,0.0335493692346933,0.308641975308642,0.0163339967288101,0.0529221494013446,8.9505852631579
3.9,0.24740227610094,0.00753204520533344,0.0304445267199578,0.296882731321128,0.0142576279941073,0.0480244436268182,9.7989734817189
4,0.238095238095238,0.0065860873079887,0.0276615666935525,0.285714285714286,0.0124669967072851,0.0436344884754978,10.71875
4.1,0.229252636405319,0.0057689953068013,0.0251643575282673,0.275103163686382,0.010920299432866,0.039695288438468,11.7146519207317
4.2,0.220848056537103,0.00506206288919103,0.022921020762257,0.265017667844523,0.00958212644631449,0.0361565571240933,12.7916399294533
4.3,0.212856534695615,0.00444943079674756,0.02090342588312,0.255427841634738,0.00842245729494965,0.0329739203097279,13.9549036918605
4.4,0.205254515599343,0.00391763996422744,0.0190867419057161,0.246305418719212,0.00741581492172284,0.0301082085821947,15.2098672727273
4.5,0.198019801980198,0.00345525557669058,0.0174490406622874,0.237623762376238,0.00654055403200917,0.0275248315513719,16.5621945730453
4.6,0.191131498470948,0.00305255098461556,0.0159709467515086,0.229357798165138,0.00577826276731274,0.0251932256654835,18.0177947826087
4.7,0.184569952011813,0.00270124202409307,0.0146353292865363,0.221483942414175,0.00511325979221384,0.0230863679618455,19.5828278457447
4.8,0.178316690442225,0.0023942637083165,0.0134270308762389,0.21398002853067,0.00453217158718013,0.0211803485507551,21.2637099382716
4.9,0.172354360565322,0.00212558249271952,0.0123326296227587,0.206825232678387,0.00402357707977148,0.0194539951806951,23.0671189540816
5,0.166666666666667,0.00189003838177714,0.0113402302906629,0.2,0.00357770876399966,0.0178885438199983,25
